x,y,concentration
47.5,52.5,0.0
47.5,55.0,0.0
47.5,57.5,0.0
47.5,60.0,0.0
47.5,62.5,0.0
47.5,65.0,0.0
47.5,67.5,0.0
47.5,70.0,0.0
47.5,72.5,0.0
47.5,75.0,0.0
47.5,77.5,0.0
47.5,80.0,0.0
47.5,82.5,0.0
47.5,85.0,0.0
47.5,87.5,0.0
47.5,90.0,0.0
47.5,92.5,0.0
47.5,95.0,0.0
47.5,97.5,0.0
50.0,0.0,0.0
50.0,2.5,0.0
50.0,5.0,0.0
50.0,7.5,0.0
50.0,10.0,0.0
50.0,12.5,0.0
50.0,15.0,0.0
50.0,17.5,0.0
50.0,20.0,0.0
50.0,22.5,0.0
50.0,25.0,0.0
50.0,27.5,0.0
50.0,30.0,0.0
50.0,32.5,0.0
50.0,35.0,0.0
50.0,37.5,0.0
50.0,40.0,0.0
50.0,42.5,0.0
50.0,45.0,0.0
50.0,47.5,0.0
50.0,50.0,0.0
50.0,52.5,0.0
50.0,55.0,0.0
50.0,57.5,0.0
50.0,60.0,0.0
50.0,62.5,0.0
50.0,65.0,0.0
50.0,67.5,0.0
50.0,70.0,0.0
50.0,72.5,0.0
50.0,75.0,0.0
50.0,77.5,0.0
50.0,80.0,0.0
50.0,82.5,0.0
50.0,85.0,0.0
50.0,87.5,0.0
50.0,90.0,0.0
50.0,92.5,0.0
50.0,95.0,0.0
50.0,97.5,0.0
52.5,0.0,0.0
52.5,2.5,0.0
52.5,5.0,0.0
52.5,7.5,0.0
52.5,10.0,0.0
52.5,12.5,0.0
52.5,15.0,0.0
52.5,17.5,0.0
52.5,20.0,0.0
52.5,22.5,0.0
52.5,25.0,0.0
52.5,27.5,0.0
52.5,30.0,0.0
52.5,32.5,0.0
52.5,35.0,0.0
52.5,37.5,0.0
52.5,40.0,0.0
52.5,42.5,0.0
52.5,45.0,0.0
52.5,47.5,0.0
52.5,50.0,0.0
52.5,52.5,0.0
52.5,55.0,0.0
52.5,57.5,0.0
52.5,60.0,0.0
52.5,62.5,0.0
52.5,65.0,0.0
52.5,67.5,0.0
52.5,70.0,0.0
52.5,72.5,0.0
52.5,75.0,0.0
52.5,77.5,0.0
52.5,80.0,0.0
52.5,82.5,0.0
52.5,85.0,0.0
52.5,87.5,0.0
52.5,90.0,0.0
52.5,92.5,0.0
52.5,95.0,0.0
52.5,97.5,0.0
55.0,0.0,0.0
55.0,2.5,0.0
55.0,5.0,0.0
55.0,7.5,0.0
55.0,10.0,0.0
55.0,12.5,0.0
55.0,15.0,0.0
55.0,17.5,0.0
55.0,20.0,0.0
55.0,22.5,0.0
55.0,25.0,0.0
55.0,27.5,0.0
55.0,30.0,0.0
55.0,32.5,0.0
55.0,35.0,0.0
55.0,37.5,0.0
55.0,40.0,0.0
55.0,42.5,0.0
55.0,45.0,0.0
55.0,47.5,0.0
55.0,50.0,0.0
